
-- clusteringTake3Customized --

(20,3.761394688935063E8)
(30,3.392871383907749E8)
(40,2.849157690364244E8)
(50,2.334265569555127E8)
(60,1.9928719287628195E8)
(70,1.5681057587452948E8)
(80,1.1543318658865735E8)
(90,6.937693592819436E7)
(100,4.633011914451084E7)
(110,1.9725298313938808E7)
(120,1.6454514226277955E7)
(130,1.6567257395516228E7)
(140,1.177001513729094E7)
(150,1.0483442091814864E7)
(160,9332495.993890638)
(170,9150082.667122243)
(180,8237182.165893137)
(190,7662126.289273854)
(200,7225314.859643907)
(210,6131792.755436772)
(220,5602649.708501501)
(230,5867752.652774606)
(240,5187415.511064612)
(250,5608018.970281469)
(260,4746298.539978879)
(270,4409522.369628786)
(280,4279881.433180143)
(290,4351446.563031375)
(300,3780014.850583747)

(140,1.1947841650018401E7)
(145,1.0568364861456407E7)
(150,1.124500750388751E7)
(155,1.0022155358969387E7)
(160,9963316.292897325)
(165,1.0289296949655045E7)
(170,9301503.733195327)
(175,8590747.569500158)
(180,7878695.259731052)
(185,7615993.476505827)
(190,7773114.678114614)
(195,7576936.1117001185)
(200,7083579.288279526)
(205,6338820.101606663)
(210,6662936.461128774)
(215,6888752.870928146)
(220,5889397.2323466055)

-- clusteringTake4Customized --

(20,0.13736905380482467)
(30,0.12842706690959663)
(40,0.06884352425861125)
(50,0.0777618419606222)
(60,0.02804381660437731)
(70,0.10090390429670269)
(80,0.05107273195386407)
(90,0.03244205778329538)
(100,0.02278474729921163)
(110,0.02218848820886765)
(120,0.02204022805060137)
(130,0.022156178105246352)
(140,0.020001682442178554)
(150,0.01895134858500926)
(160,0.013095646701900285)
(170,0.018134758633593474)
(180,0.01846352798722347)
(190,0.01603042418844726)
(200,0.016566654500141116)
(210,0.01737326076057031)
(220,0.016278038536509633)
(230,0.008881785317514653)
(240,0.01068974300026661)
(250,0.010352241934882912)
(260,0.005974723641403518)
(270,0.00818095441924632)
(280,0.008195848382435185)
(290,0.006135773259363359)
(300,0.0055161821074422536)
